"Index","Venue.ID","Event.Venue","Event.City","Event.Address","Event.Lon","Event.Lat"
"75",74,15597412,"Tan Lac Vien Vietnamese Bistro","Pittsburgh"," 2114 Murray Avenue",-79.923264,40.433186
"76",75,978650,"Panera Bread","Oakland"," 3800 Forbes Avenue",-79.95681,40.441555
"77",76,12921352,"Lindsey's House","Canonsburg PA 15317"," 135 Vista Drive",-80.204437,40.282993
"78",77,731596,"Sharp Edge Beer Emporium","Pittsburgh"," 302 S St Clair St",-79.930554,40.459939
"79",78,938297,"Al's Cafe","Bethel Park"," 435 McMurray Road",-80.065841,40.312354
"80",79,24102008,"Outback Steakhouse","Moon Township"," 1400 Market Place Bvld",-80.179184,40.457462
"81",80,24075973,"Max And Erma\'s","Pittsburgh"," 130 Andrew Drive",-80.17587,40.451733
"82",81,23736080,"Ground Round","Coraopolis"," 5980 University Blvd",-80.21772,40.520031
"83",82,13254552,"Blvd Pub and Kitchen","Canonsburg"," 114 Southpointe Blvd.",-80.162399,40.277706
"84",83,822670,"Applebee's - Robinson","Pittsburgh"," 6570 Steubenville Pike",-80.16129,40.448326
"85",84,24104397,"Market District Giant Eagle","Wexford"," 155 Towne Center Drive",-80.054298,40.632034
"86",85,23769367,"Bartram House Bakery","Wexford"," 2000 Village Run Drive",-80.05677,40.633598
"87",86,835698,"Houlihans","Pittsburgh"," 100 Robinson Centre Drive",-80.160244,40.455791
"88",87,1594958,"California Pizza Kitchen Ross Park Mall","Pittsburgh"," 1000 Ross Park Mall Drive Pittsburgh PA 15237",-80.007385,40.539204
"89",88,6838692,"Schenley Plaza (in front of The Porch Restaurant)","PA"," Pittsburgh",-79.995888,40.440624
"90",89,1015384,"Panera Bread","Pittsburgh"," 400 Penn Center Blvd",-79.811892,40.428055
"91",90,22170312,"Gaetano's Restaurant","Pittsburgh"," 1617 Banksville Rd",-80.031731,40.409874
"92",91,23704317,"Lin's Garden","Gibsonia"," 5560 William Flynn Hwy",-79.940247,40.633209
"93",92,20348552,"Tres Amigos Mexican","Natrona Heights"," 18 Highlands Mall",-79.709923,40.646149
"94",93,570488,"Mitchell's Fish Market","Pittsburgh"," 1500 Washington Rd.",-80.050385,40.355923
"95",94,24018257,"Eat N Park - Fox Chapel","Pittsburgh"," 849 Freeport Rd",-79.891785,40.487
"96",95,23530350,"Bravo's Cucina Italiana","Pittsburgh"," 211 Summit Park Drive Pittsburgh PA 15275",0,0
"97",96,23949897,"Steel Cactus Mexican Restaurant and Cantina","Pittsburgh"," 1831 E Carson Street ( south side )",-79.979324,40.428879
"98",97,889145,"Willow Restaurant and Lounge","Pittsburgh "," 634 Camp Horne Road",-80.076578,40.521193
"99",98,23704137,"Emiliano's","Gibsonia"," 5375 William Flynn Hwy",-79.944771,40.619308
"100",99,18444232,"Olives and Peppers","Bakerstown"," 6052 William Flynn Hwy",-79.933891,40.660416
"101",100,23964667,"Houlihans","Pittsburgh"," 1500 Washington Road",-80.051872,40.357716
"102",101,23530353,"Jacksons Restaurant","Coraopolis"," 8402 University Blvd",-80.223083,40.508793
"103",102,23703940,"Matteo's","Lawrenceville"," 3615 Butler St",-79.96505,40.465736
"104",103,856403,"Wooden Nickel","Monroeville"," 4006 Berger Ln",-79.772346,40.437237
"105",104,1403851,"Papa J's Ristorante","Carnegie"," 200 East Main Street",-80.085305,40.40823
"106",105,9126032,"Allegheny Wine Mixer Inc","Pittsburgh"," 5326 Butler Street",-79.951599,40.482544
"107",106,16266372,"Aladdins Eatery","Fox Chapel"," Waterworks Plaza Freeport Road",-79.879776,40.513401
"108",107,21776612,"Chatham University Sanger Hall","Pittsburgh"," Woodland Road",-79.910728,40.52663
"109",108,1584182,"Chatham University","Pittsburgh"," 1 Woodland Road",-79.925491,40.451275
"110",109,783159,"Regent Square Theater","Pittsburgh"," 1035 S Braddock Ave",-79.894225,40.433416
"111",110,814077,"Carnegie Library of Pittsburgh - Homewood Branch","Pittsburgh"," 7101 Hamilton Ave",-79.899214,40.455284
"112",111,6229922,"Harris Theater","Pittsburgh"," 809 Liberty Ave.",-79.998558,40.442795
"113",112,674849,"Melwood Screening Room","Pittsburgh"," 477 Melwood Ave",-79.95312,40.455513
"114",113,1054771,"Hollywood Theater","Dormont"," 1449 Potomac Avenue",-80.035239,40.39618
"115",114,4869282,"The Hollywood Theatre","Pittsburgh"," 1449 Potomac Ave Pittsburgh PA 15216",-80.03524,40.396179
"116",115,9877572,"Waterworks Cinemas","Pittsburgh"," 930 Freeport Road",-79.889725,40.488403
"117",116,9084142,"Carnegie Mellon University-McConomy Auditorium","Pittsburgh"," 5000 Forbes Avenue ",-79.941574,40.443504
"118",117,23740790,"Row House Cinema","Pittsburgh"," 4115 Butler St",-79.960838,40.469887
"119",118,335676,"Moon Park","Coraopolis"," 1350 Ewing Rd",-80.18604,40.491043
"120",119,1055186,"Dormont Pool","Dormont"," 1801 Dormont Avenue",-80.043927,40.397388
"121",120,969027,"South Park","South Park"," Offleash Upper Parking Lot",-79.997589,40.292603
"122",121,674839,"Animal Friends","Pittsburgh"," 562 Camp Horne Rd",-80.079155,40.522995
"123",122,836419,"The Waterfront","Homestead"," Waterfront Dr W",-79.919512,40.406871
"124",123,6814352,"North Park","McCandless Township"," McCandless Township Pennsylvania",-80.029968,40.583481
"125",124,8350162,"Hartwood Acres Concert Area","Pittsburgh"," 200 Hartwood Acres",-79.911003,40.569515
"126",125,24044351,"Kelly Park","Oakdale"," 55 Steen Hollow Road",-80.169502,40.391678
"127",126,689526,"PNC PARK","Pittsburgh"," North Shore",-80.013532,40.445305
"128",127,1092762,"Camp Bow Wow","Pittsburgh"," 971 Killarney Dr.",-80.006336,40.374626
"129",128,17111332,"Woody's Dog Wash & Boutique","Pittsburgh"," 5843 Brownsville Road",-79.986343,40.327496
"130",129,14048792,"Roberto Clemente Bridge Pittsburgh PA 15222","Pittsburgh"," Roberto Clemente Bridge Pittsburgh PA 15222",-80.003166,40.445183
"131",130,4971712,"SouthSide Works Cinema","Pittsburgh"," 425 Cinema Drive",-79.96505,40.428066
"132",131,24053586,"Unitarian Universalist Church of the North Hills","Pittsburgh"," 2359 West Ingomar Rd",-80.08183,40.584385
"133",132,23781324,"Fredo's Deli","Pittsburgh"," 1451 Potomac Ave",-80.035248,40.396339
"134",133,11892872,"Phipps Conservatory","Pittsburgh 15213"," One Schenley Park",-79.949791,40.434441
"135",134,14516412,"The Grandview Saloon","Pittsburgh"," 1212 Grandview Avenue",-80.018555,40.438122
"136",135,10654802,"CAVO Pittsburgh ","Pittsburgh"," 1916 Smallman St. (The Strip District)",-79.98497,40.451527
"137",136,23826462,"Howl at the Moon","Pittsburgh"," 125 7th St",-80.000488,40.443779
"138",137,1308714,"Schenley Park tennis courts","Pittsburgh"," Overlook Drive",-79.94216,40.431979
"139",138,24131401,"Primantis Brothers in the Strip","Pittsburgh"," 46 18th Street",-79.985535,40.450741
"140",139,11442842,"Bronze Hood Lounge","McKees Rocks"," 5920 Steubenville Pike",-80.142403,40.448868
"141",140,20804532,"Buckhead Saloon (in Station Square)","Pittsburgh"," 225 West Station Square Drive",-80.005486,40.433949
"142",141,1545901,"AMF Mt Lebanon Lanes","Pittsburgh"," 1601 Washington Road",-80.049225,40.353638
"143",142,23626200,"Carnegie Science Center","Pittsburgh"," 1 Allegheny Ave",-80.017372,40.446075
"144",143,20780262,"Wigle Barrelhouse and Whiskey Garden","Pittsburgh"," 1055 Spring Garden Ave",-79.993423,40.459293
"145",144,2576351,"Duke\'s Rib House & Grille","Scott Township"," 1910 Cochran Road",-80.06115,40.394966
"146",145,18164272,"Laser Storm","Pittsburgh"," 7715 Mcknight Rd",-80.017685,40.546852
"147",146,20510472,"Steel Cactus","Pittsburgh"," 5505 Walnut Street",-79.933632,40.451412
"148",147,1854861,"La Casa Narcisi Winery","Gibsonia"," 4578 Gibsonia Road Route 910",-79.900291,40.613205
"149",148,674812,"Double Wide Grill","Pittsburgh"," 2339 E Carson St",-79.972336,40.428295
"150",149,23642275,"Painting with a Twist","Pittsburgh"," 250 Mount Lebanon Blvd. Pittsburgh PA 15234",0,0
"151",150,11666052,"Prior\'s Tap and Tavern","Pittsburgh"," 540 Weyman Road",-80.000687,40.35939
"152",151,12816712,"Coach\'s Bottleshop & Grille","Pittsburgh"," 3105 Banksville Road",-80.044571,40.399273
"153",152,911421,"Hofbrauhaus Pittsburgh","Pittsburgh"," 2705 S. Water Street",-79.957462,40.423227
"154",153,8337782,"Millvale River Front Park","Millvale"," 70 Riverfront Drive",-79.980501,40.461108
"155",154,1136838,"Cadillac Ranch ","Pittsburgh"," 1060 Settlers Ridge Center Drive",-80.041341,40.423784
"156",155,937447,"Redbeards Bar","Pittsburgh"," 211 Shiloh St",-80.007369,40.430364
"157",156,15594022,"Carnegie Park","Pittsburgh"," Forsythe Road For directions contact 412-853-0515",-79.995888,40.440624
"158",157,727351,"Quaker Steak and Lube","Pittsburgh"," 110 Andrew Dr",-80.176316,40.449835
"159",158,852775,"Hard Rock Cafe","Pittsburgh"," Station Square",-80.003711,40.432542
"160",159,8129432,"Tilted Kilt","Pittsburgh"," 353 North Shore Drive Pittsburgh PA 15212",-80.010818,40.445938
"161",160,721440,"Lower Frick Park Parking Lot","Pittsburgh"," 1000 Lancaster Ave",-79.898384,40.431808
"162",161,24187292,"Sullivan Field","Pittsburgh"," 3601 Liberty Ave. Pittsburgh PA 15201",-79.963905,40.461864
"163",162,23998769,"Swede Hill Park","Greensburg"," 311 Willow Crossing Road",-79.56413,40.277355
"164",163,997661,"Flagstaff Hill","Pittsburgh"," 4800 Frew Street",-79.948149,40.440809
"165",164,23923760,"Riverview Park","Pittsburgh"," 139 Mairdale Ave",-80.021164,40.490067
"166",165,4759112,"Schenley Oval Sportsplex","Pittsburgh"," Overlook Drive 15207",-79.94216,40.431979
"167",166,22100192,"Cost Center Outdoor IM Fields","Pittsburgh"," Robinson Street Extension",-79.997467,40.438339
"168",167,23797045,"Hempfield Parks & Athletic Complex","Greensburg"," 220 Forbes Trail Road",-79.557869,40.350212
"169",168,7588462,"Koenig Field","Pittsburgh"," 401 Greendale Avenue",-79.888092,40.432568
"170",169,23592287,"Southpointe Fieldhouse","Canonsburg"," 104 Cecil-Henderson Road",-80.160194,40.304428
"171",170,8626252,"Jergel's Rhythm Grille","Warrendale"," 285 Northgate Drive",-80.080658,40.654568
"172",171,3017921,"Adam's Ridge Clubhouse","Mars"," 100 Adams Ridge Boulevard",-80.050003,40.684216
"173",172,24173140,"The Camelot Banquet Hall","Warrendale"," 260 Northgate Dr.",-80.079674,40.65451
"174",173,23976966,"Deer Lakes Park","West Deer Twp"," 109 Mahaffey Rd",-79.828491,40.620811
"175",174,740042,"North Park","Gibsonia"," 1330 Wildwood Road",-79.979666,40.594669
"176",175,24033346,"St. Agnes Center of Carlow University","Pittsburgh"," 3333 Fifth Avenue",-79.963692,40.438213
"177",176,674836,"Benedum Center For the Performing Arts","Pittsburgh"," 719 Liberty Ave",-79.99923,40.44261
"178",177,3963902,"Pittsburgh Dance Center","Pittsburgh"," 4765 Liberty Ave.",-79.947922,40.461079
"179",178,9933862,"Pittsburgh Playwrights Theatre Company","Pittsburgh "," 937 Liberty Avenue",-79.996666,40.443378
"180",179,1108438,"Our Lady Of the Angels","Pittsburgh"," 225 37th Street ",-79.963923,40.465831
"181",180,24053265,"Genesius Theater on the Duquesne University Campus","Pittsburgh"," Locust Street",-79.98939,40.43682
"182",181,1013607,"The Space Upstairs","Pittsburgh"," 214 North Lexington Street",-79.899085,40.449691
"183",182,674802,"New Hazlett Theater","Pittsburgh"," 6 Allegheny Square E",-80.003494,40.452225
"184",183,8659062,"Frick Park Blue Slide Playground","Pittsburgh"," Beechwood Blvd. at Nicholson St.",-79.915207,40.430264
"185",184,24038997,"St. Therese of Lisieux Church","Munhall"," 1 Saint Therese Ct.",-79.901573,40.387962
"186",185,955603,"August Wilson Center","Pittsburgh"," 980 Liberty Avenue ",-79.996123,40.443417
"187",186,24024710,"Allegheny Commons Park West Park","Pittsburgh"," West North & Palo Alto",-80.010582,40.454731
"188",187,24142157,"Saturday at Mellon Institute Auditorium (4400 Fifth Ave) Sunday at Frick Art & Historical Center (7227 Reynolds St) Pittsbur","Pittsburgh"," Saturday at Mellon Institute Auditorium (4400 Fifth Ave) Sunday at Frick Art & Historical Center (7227 Reynolds St) Pittsbur",-79.995888,40.440624
"189",188,6434262,"Cabaret At Theater Square","Pittsburgh"," 655 Penn Avenue",-80.001007,40.443089
"190",189,22802542,"Future Tenant","Pittsburgh"," 819 Penn Ave",-79.998665,40.443642
"191",190,23475652,"Bricolage","Pittsburgh"," 937 Liberty Ave",-79.996658,40.443264
"192",191,24063288,"The Artists\' Gallery","Pittsburgh"," 31 North Balph Ave",-80.055374,40.496185
"193",192,11825272,"Pittsburgh Public Theater (Downtown)","Pittsburgh"," O\'Reilly Theater 621 Penn Avenue",-79.885071,40.443966
"194",193,17956022,"Byham Theater","Pittsburgh"," 101 6th St",-80.002548,40.443848
"195",194,19695892,"The Trust Arts Education Center","Pittsburgh"," 805 Liberty Ave",-79.998634,40.442822
"196",195,20158732,"East End Cooperative Ministry ","Pittsburgh"," 6140 Station Street (Penn Circle North) East Liberty",-79.997467,40.438339
"197",196,18838672,"latitude 360","Pittsburgh"," 200 Quinn Dr Pittsburgh PA 15275",-80.177849,40.446178
"198",197,2539771,"Walnut Street in Shadyside","Pittsburgh"," Walnut Street",-79.93341,40.45142
"199",198,4708992,"Frick Art & Historical Center","Pittsburgh"," 7227 Reynolds Street",-79.90229,40.446594
"200",199,24095341,"Andrew Carnegie Free Library & Music Hall","Carnegie"," 300 Beechwood Avenue",-80.085869,40.406841
"201",200,19515162,"Grist House Brewery","Millvale"," 10 Sherman Street",-79.972046,40.478786
"202",201,10657782,"Hambone\'s","Pittsburgh"," 4207 Butler Street",-79.960457,40.470444
"203",202,1059488,"The Oaks Theater","Oakmont"," 310 Allegheny River Boulevard",-79.842896,40.515626
"204",203,23909084,"Tall Trees Amphitheater - Monroeville Community Park West","monroeville"," 2447 Tilbrook Road",-79.76342,40.420403
"205",204,763021,"Heinz Hall","Pittsburgh"," 600 Penn Ave",-80.002187,40.442724
"206",205,24103460,"All Saints Church","Etna"," 19 Wilson Street",-79.949867,40.503819
"207",206,879741,"First Unitarian Church of Pittsburgh in Shadyside","Pittsburgh"," Corner of Morewood and Ellsworth",-79.943053,40.450916
"208",207,12533622,"Kresge Theatre College of Fine Arts","Pittsburgh"," Carnegie Mellon University",-79.94301,40.441658
"209",208,24068648,"Squirrel Hill Farmers' Market","Pittsburgh"," 5753 Bartlett Street (Bartlett/Beacon Parking Lot)",-79.923996,40.436008
"210",209,23676949,"Unitarian Universalist Church of the North Hills","Pittsburgh"," 2359 W Ingomar Rd",-80.079445,40.583988
"211",210,12733572,"Millvale Community Center","Millvale"," 416 Lincoln Avenue",-79.972717,40.480885
"212",211,24154310,"New Sun Rising Offices","Millvale"," 220 North Avenue",-79.97438,40.48122
"213",212,17499532,"Cavo","Pittsburgh"," 1916 Smallman St",-79.985107,40.451435
"214",213,10279342,"Tele-Seminar","Pittsburgh"," In the comfort of your own home. (teleconference number will be provided upon registration)",-79.995888,40.440624
"215",214,308361,"Coffee Tree Roasters","Pittsburgh"," 5524 Walnut St",-79.932852,40.451375
"216",215,23585477,"Zeke's Coffee (new location)","Pittsburgh"," 6015 Penn Ave",-79.923988,40.461502
"217",216,14167812,"Mellon Park ","Pittsburgh"," 5th Ave & Shady Ave",-79.920715,40.452885
"218",217,833058,"Big Dog Coffee","Pittsburgh"," 2717 Sarah St",-79.966716,40.425941
"219",218,17499542,"Cavo","Pittsburgh"," 1916 Smallman St",-79.985107,40.451435
"220",219,24013737,"The Tea Loft","Pittsburgh"," 3812 William Flinn Hwy Building 4 2nd floor",-79.957314,40.555496
"221",220,23917876,"Embody Healing LLC","Pittsburgh"," 2609 Brownsville Road",-79.978386,40.385338
"222",221,24184871,"SparkleDragon\'s Magical Emporium","Pittsburgh"," 2120 Broadway Ave",-80.030434,40.404484
"223",222,23771672,"Way Wellness Center","Fox Chapel"," 1150 Freeport Road",-79.879341,40.487827
"224",223,24158661,"Elks Lodge","Bethel Park Pa. 15102"," 2425 South Park Road",-80.023041,40.329342
"225",224,6532322,"Shining Light Prenatal Education","Pittsburgh"," 3701 Butler Street",-79.96476,40.466358
"226",225,23596545,"Avani Institute","Canonsburg"," 3055 Washington Rd",-80.103767,40.292664
"227",226,23883769,"First Unitarian Church","Pittsburgh"," 605 Morewood Ave",-79.942993,40.45068
"228",227,1154790,"First United Methodist Church","Pittsburgh"," 5401 Centre Avenue",-79.938581,40.455928
"229",228,23586831,"Playdate 4 kids","Pittsburgh"," 2898 Banksville Road",-80.04072,40.40349
"230",229,23670776,"Enlightened Healing Energy","Pittsburgh"," 466 Castle Shannon Boulevard",-80.033928,40.372467
"231",230,22446562,"Sparkledragon\'s Magical Emporium","Pittsburgh"," 2120 Broadway Ave",-80.033188,40.404533
"232",231,14838612,"Online Event","Pittsburgh"," Online",-80.000076,40.442169
"233",232,24131243,"Cora Lee Cupcakes","Lower Burrell"," 2881 Leechburg Rd",-79.724854,40.58952
"234",233,17841722,"Carnegie Library - Squirrel Hill Room A","Pittsburgh"," 5801 Forbes Avenue",-79.922653,40.438213
"235",234,20785082,"Ola's Herb Shop","Pittsburgh"," 5824 Forbes Ave Ste 2",-79.921867,40.438061
"236",235,24071135,"Lawther's Medicine Wheel","Tarentum"," 783 Rt 908 Ext",-79.759773,40.601456
"237",236,23662715,"Staghorn Home & Garden Cafe","Pittsburgh"," 517 Greenfield Ave",-79.941826,40.425671
"238",237,23825584,"Holy Trinity Greek Orthodox Church","Pittsburgh"," 985 Providence Blvd (Opposite 9000 Babcock Boulevard)",-79.979095,40.686523
"239",238,23625436,"Doubletree Cranberry (was 4 Points Sheraton N.)","Mars"," 901 Sheraton Dr",-80.09689,40.67315
"240",239,24153444,"West Mifflin Fire Hall","Pittsburgh"," 3722 Rodeo Dr West Mifflin PA 15122",-79.914986,40.353367
"241",240,23935278,"Chatham Commons","Cranberry Twp"," 5000 Stein Drive",0,0
"242",241,24147961,"Unity Center","Pittsburgh"," 201 South Winebiddle Street",-79.94229,40.46396
"243",242,23771661,"My Home","Lower Burrell","1",0,0
"244",243,23698667,"Homestead Labyrinth","Homestead"," 880 waterfront Dr. ",-79.895859,40.409176
"245",244,15182542,"Donato's Fox Chapel","Pittsburgh"," 46 Fox Chapel Road",-79.883049,40.488579
"246",245,24103445,"Grace Community Church","Cranberry Township"," 9160 Marshall Rd",-80.097916,40.719913
"247",246,1383936,"Doubletree Hotel","Moon Township"," 8402 University Blvd.",-80.224573,40.509119
"248",247,24070496,"Moon Township Police Station","Moon Township"," Corner of Beaver Grade Rd. and Thorn Run Rd.",-80.207542,40.505455
"249",248,1095802,"South Park Dog Park","South Park"," Buffalo Drive",-79.995861,40.305406
"250",249,706800,"Lucky Paws","Freedom"," 2273 Lovi Rd",-80.164513,40.685226
"251",250,1246313,"(Upper) Frick Park Dog Park","Pittsburgh"," Beechwood Blvd",-79.917442,40.450623
"252",251,6634392,"North Park Dog Park","Allison Park"," Pearce Mill Road",-80.008224,40.606716
"253",252,17606382,"Mt Lebanon Public Library","Pittsburgh"," 16 Castle Shannon Blvd",-80.045219,40.377373
"254",253,24090568,"Jergel's Rhythm Grille ","Warrendale"," 103 Slade Ln",-80.082214,40.65469
"255",254,14192352,"Frick Art & Historical Center","Pittsburgh"," 7227 Reynolds Street",-79.901299,40.448486
"256",255,283798,"Thunderbird Cafe","Pittsburgh"," 4023 Butler St",-79.96153,40.469307
"257",256,998130,"ESSpa Kozmetika Organic Skincare & Spa","Pittsburgh"," 17 Brilliant Avenue",-79.901321,40.48931
